row_id,ambiguous_query,patient_context,ground_truth,label,food_phrase,decision,agent_state,family_name,max_belief,n_hypotheses_init,n_hypotheses_final,entropy_init,entropy_final,candidates_init,candidates_final,turns,stop_reason,abstained,question_log,clarified_query,response,label_binary,pred_binary,correct,entropy_reduction
0,Can I eat white rice with chicken curry?,diabetes,diabetes,okay,white rice with chicken curry,NOT OKAY,ANSWER,,1.0,12,1,3.585,0.0,"[{""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Irritable Bowel Syndrome""}, {""name"": ""Gastritis""}, {""name"": ""Peptic Ulcer Disease""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Hypercholesterolemia""}]","[{""name"": ""Type 2 Diabetes Mellitus""}]",1,confirmed_risky,False,"[{""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": true, ""ig"": 0.469, ""max_b"": 1.0}]","Food query: Can I eat white rice with chicken curry?
Clarification answers:
  - Type 2 Diabetes Mellitus: Yes

KG risk conditions: Type 2 Diabetes Mellitus.",NOT OKAY,OKAY,NOT OKAY,False,3.585
1,Is it fine if I have sushi with raw fish?,acid reflux,acid reflux,not_okay,it,ABSTAIN,ABSTAIN,,0.0,0,0,0.0,0.0,[],[],0,garbage_phrase,True,[],Is it fine if I have sushi with raw fish?,ABSTAIN,NOT OKAY,ABSTAIN,False,0.0
2,Is a banana smoothie okay for my condition?,diabetes,diabetes,okay,banana smoothie,NOT OKAY,ANSWER,,1.0,12,1,3.585,0.0,"[{""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Hypertension""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Milk Allergy""}, {""name"": ""Obesity""}, {""name"": ""Lactose Intolerance""}, {""name"": ""Metabolic Syndrome""}, {""name"": ""Hypertriglyceridemia""}]","[{""name"": ""Type 2 Diabetes Mellitus""}]",1,confirmed_risky,False,"[{""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": true, ""ig"": 0.469, ""max_b"": 1.0}]","Food query: Is a banana smoothie okay for my condition?
Clarification answers:
  - Type 2 Diabetes Mellitus: Yes

KG risk conditions: Type 2 Diabetes Mellitus.",NOT OKAY,OKAY,NOT OKAY,False,3.585
3,Would a turkey sandwich with mayo be a problem?,kidney disease,kidney disease,not_okay,turkey sandwich with mayo,NOT OKAY,ANSWER,,1.0,12,1,3.585,0.0,"[{""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Hypertension""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Wheat Allergy""}, {""name"": ""Egg Allergy""}, {""name"": ""Hypercholesterolemia""}, {""name"": ""Non-Celiac Gluten Sensitivity""}]","[{""name"": ""Chronic Kidney Disease""}]",6,confirmed_risky,False,"[{""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:01da3ef25313"", ""name"": ""Hypertension"", ""question"": ""Do you have Hypertension?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": true, ""ig"": 0.5917, ""max_b"": 1.0}]","Food query: Would a turkey sandwich with mayo be a problem?
Clarification answers:
  - Type 1 Diabetes Mellitus: No
  - Prediabetes: No
  - Gestational Diabetes Mellitus: No
  - Type 2 Diabetes Mellitus: No
  - Hypertension: No
  - Chronic Kidney Disease: Yes

KG risk conditions: Chronic Kidney Disease.",NOT OKAY,NOT OKAY,NOT OKAY,True,3.585
4,I'm in the mood for a bacon sandwich. Is that fine?,peanut allergy,peanut allergy,okay,bacon sandwich,OKAY,ANSWER,,1.0,12,3,3.585,1.585,"[{""name"": ""Prediabetes""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Hypertension""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Wheat Allergy""}, {""name"": ""Hypercholesterolemia""}, {""name"": ""Non-Celiac Gluten Sensitivity""}, {""name"": ""Celiac Disease""}]","[{""name"": ""Hypercholesterolemia""}, {""name"": ""Non-Celiac Gluten Sensitivity""}, {""name"": ""Celiac Disease""}]",9,belief_concentrated,False,"[{""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:01da3ef25313"", ""name"": ""Hypertension"", ""question"": ""Do you have Hypertension?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:afb9afa53b0e"", ""name"": ""Coronary Artery Disease"", ""question"": ""Do you have Coronary Artery Disease?"", ""answer"": false, ""ig"": 0.65, ""max_b"": 0.3333}, {""cid"": ""COND:5e03ab7388b8"", ""name"": ""Congestive Heart Failure"", ""question"": ""Do you have Congestive Heart Failure?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.5}, {""cid"": ""COND:af72e20ce531"", ""name"": ""Wheat Allergy"", ""question"": ""Do you have Wheat Allergy?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 1.0}]","Food query: I'm in the mood for a bacon sandwich. Is that fine?
Clarification answers:
  - Prediabetes: No
  - Gestational Diabetes Mellitus: No
  - Type 2 Diabetes Mellitus: No
  - Type 1 Diabetes Mellitus: No
  - Hypertension: No
  - Chronic Kidney Disease: No
  - Coronary Artery Disease: No
  - Congestive Heart Failure: No
  - Wheat Allergy: No

KG risk conditions: Hypercholesterolemia, Non-Celiac Gluten Sensitivity, Celiac Disease.",OKAY,OKAY,OKAY,True,2.0
5,Is oatmeal with honey fine in the morning?,no restrictions,no restrictions,okay,oatmeal with honey,OKAY,ANSWER,,1.0,12,3,3.585,1.585,"[{""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Non-Alcoholic Fatty Liver Disease""}, {""name"": ""Obesity""}, {""name"": ""Gastroparesis""}, {""name"": ""Metabolic Syndrome""}, {""name"": ""Hypertriglyceridemia""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Hypercholesterolemia""}]","[{""name"": ""Congestive Heart Failure""}, {""name"": ""Coronary Artery Disease""}, {""name"": ""Hypercholesterolemia""}]",9,belief_concentrated,False,"[{""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:45dd652035fd"", ""name"": ""Non-Alcoholic Fatty Liver Disease"", ""question"": ""Do you have Non-Alcoholic Fatty Liver Disease?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:9f8251416f7e"", ""name"": ""Obesity"", ""question"": ""Do you have Obesity?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:c876b0cbfc73"", ""name"": ""Gastroparesis"", ""question"": ""Do you have Gastroparesis?"", ""answer"": false, ""ig"": 0.65, ""max_b"": 0.3333}, {""cid"": ""COND:47568e204552"", ""name"": ""Metabolic Syndrome"", ""question"": ""Do you have Metabolic Syndrome?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.5}, {""cid"": ""COND:75c63ec63e46"", ""name"": ""Hypertriglyceridemia"", ""question"": ""Do you have Hypertriglyceridemia?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 1.0}]","Food query: Is oatmeal with honey fine in the morning?
Clarification answers:
  - Type 2 Diabetes Mellitus: No
  - Gestational Diabetes Mellitus: No
  - Prediabetes: No
  - Type 1 Diabetes Mellitus: No
  - Non-Alcoholic Fatty Liver Disease: No
  - Obesity: No
  - Gastroparesis: No
  - Metabolic Syndrome: No
  - Hypertriglyceridemia: No

KG risk conditions: Congestive Heart Failure, Coronary Artery Disease, Hypercholesterolemia.",OKAY,OKAY,OKAY,True,2.0
6,Is an energy drink okay before my workout?,hypertension,hypertension,not_okay,energy drink,NOT OKAY,ANSWER,,1.0,12,1,3.585,0.0,"[{""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Hypertension""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Pregnancy""}, {""name"": ""Migraine""}, {""name"": ""Obesity""}, {""name"": ""Metabolic Syndrome""}]","[{""name"": ""Hypertension""}]",5,confirmed_risky,False,"[{""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:01da3ef25313"", ""name"": ""Hypertension"", ""question"": ""Do you have Hypertension?"", ""answer"": true, ""ig"": 0.5436, ""max_b"": 1.0}]","Food query: Is an energy drink okay before my workout?
Clarification answers:
  - Gestational Diabetes Mellitus: No
  - Type 1 Diabetes Mellitus: No
  - Type 2 Diabetes Mellitus: No
  - Prediabetes: No
  - Hypertension: Yes

KG risk conditions: Hypertension.",NOT OKAY,NOT OKAY,NOT OKAY,True,3.585
7,Is it fine if I have sushi with raw fish?,pregnancy,pregnancy,not_okay,it,ABSTAIN,ABSTAIN,,0.0,0,0,0.0,0.0,[],[],0,garbage_phrase,True,[],Is it fine if I have sushi with raw fish?,ABSTAIN,NOT OKAY,ABSTAIN,False,0.0
8,Can I have a cup of coffee now?,high cholesterol,high cholesterol,okay,coffee,OKAY,ANSWER,,1.0,12,3,3.585,1.585,"[{""name"": ""Gastroesophageal Reflux Disease""}, {""name"": ""Gastritis""}, {""name"": ""Pregnancy""}, {""name"": ""Migraine""}, {""name"": ""Peptic Ulcer Disease""}, {""name"": ""Hypertension""}, {""name"": ""Atrial Fibrillation""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Cardiac Arrhythmia""}, {""name"": ""Ulcerative Colitis""}, {""name"": ""Osteoporosis""}]","[{""name"": ""Cardiac Arrhythmia""}, {""name"": ""Ulcerative Colitis""}, {""name"": ""Osteoporosis""}]",9,belief_concentrated,False,"[{""cid"": ""COND:d5332a918f72"", ""name"": ""Gastroesophageal Reflux Disease"", ""question"": ""Do you have Gastroesophageal Reflux Disease?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:47e3393e259d"", ""name"": ""Gastritis"", ""question"": ""Do you have Gastritis?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:0b1e9b6d6668"", ""name"": ""Pregnancy"", ""question"": ""Do you have Pregnancy?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:a4964a16eae2"", ""name"": ""Migraine"", ""question"": ""Do you have Migraine?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:9b8acc8ea84b"", ""name"": ""Peptic Ulcer Disease"", ""question"": ""Do you have Peptic Ulcer Disease?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:01da3ef25313"", ""name"": ""Hypertension"", ""question"": ""Do you have Hypertension?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:5e6e34548da9"", ""name"": ""Atrial Fibrillation"", ""question"": ""Do you have Atrial Fibrillation?"", ""answer"": false, ""ig"": 0.65, ""max_b"": 0.3333}, {""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": false, ""ig"": 0.7219, ""max_b"": 0.5}, {""cid"": ""COND:5e03ab7388b8"", ""name"": ""Congestive Heart Failure"", ""question"": ""Do you have Congestive Heart Failure?"", ""answer"": false, ""ig"": 0.8113, ""max_b"": 1.0}]","Food query: Can I have a cup of coffee now?
Clarification answers:
  - Gastroesophageal Reflux Disease: No
  - Gastritis: No
  - Pregnancy: No
  - Migraine: No
  - Peptic Ulcer Disease: No
  - Hypertension: No
  - Atrial Fibrillation: No
  - Chronic Kidney Disease: No
  - Congestive Heart Failure: No

KG risk conditions: Cardiac Arrhythmia, Ulcerative Colitis, Osteoporosis.",OKAY,OKAY,OKAY,True,2.0
9,Can I eat instant noodles?,kidney disease,kidney disease,not_okay,instant noodles,NOT OKAY,ANSWER,,1.0,12,1,3.585,0.0,"[{""name"": ""Type 2 Diabetes Mellitus""}, {""name"": ""Gestational Diabetes Mellitus""}, {""name"": ""Prediabetes""}, {""name"": ""Type 1 Diabetes Mellitus""}, {""name"": ""Hypertension""}, {""name"": ""Congestive Heart Failure""}, {""name"": ""Chronic Kidney Disease""}, {""name"": ""Wheat Allergy""}, {""name"": ""Non-Celiac Gluten Sensitivity""}, {""name"": ""Celiac Disease""}, {""name"": ""End-Stage Renal Disease""}, {""name"": ""Metabolic Syndrome""}]","[{""name"": ""Chronic Kidney Disease""}]",7,confirmed_risky,False,"[{""cid"": ""COND:5a7aa7dc3114"", ""name"": ""Type 2 Diabetes Mellitus"", ""question"": ""Do you have Type 2 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1111}, {""cid"": ""COND:ff206113b1a2"", ""name"": ""Gestational Diabetes Mellitus"", ""question"": ""Do you have Gestational Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.125}, {""cid"": ""COND:09daa0628c3c"", ""name"": ""Prediabetes"", ""question"": ""Do you have Prediabetes?"", ""answer"": false, ""ig"": 0.469, ""max_b"": 0.1429}, {""cid"": ""COND:b31a062745e0"", ""name"": ""Type 1 Diabetes Mellitus"", ""question"": ""Do you have Type 1 Diabetes Mellitus?"", ""answer"": false, ""ig"": 0.5033, ""max_b"": 0.1667}, {""cid"": ""COND:01da3ef25313"", ""name"": ""Hypertension"", ""question"": ""Do you have Hypertension?"", ""answer"": false, ""ig"": 0.5436, ""max_b"": 0.2}, {""cid"": ""COND:5e03ab7388b8"", ""name"": ""Congestive Heart Failure"", ""question"": ""Do you have Congestive Heart Failure?"", ""answer"": false, ""ig"": 0.5917, ""max_b"": 0.25}, {""cid"": ""COND:8b8b0b0a9c4e"", ""name"": ""Chronic Kidney Disease"", ""question"": ""Do you have Chronic Kidney Disease?"", ""answer"": true, ""ig"": 0.65, ""max_b"": 1.0}]","Food query: Can I eat instant noodles?
Clarification answers:
  - Type 2 Diabetes Mellitus: No
  - Gestational Diabetes Mellitus: No
  - Prediabetes: No
  - Type 1 Diabetes Mellitus: No
  - Hypertension: No
  - Congestive Heart Failure: No
  - Chronic Kidney Disease: Yes

KG risk conditions: Chronic Kidney Disease.",NOT OKAY,NOT OKAY,NOT OKAY,True,3.585
